Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/686518,Bodega - Comercial en El Mirador,Bodega - Comercial,30567000.0,MXN,,2,885.0,m2,"Amplia bodega de 885 m2 de terreno y 340 m2 de área de oficina y baños, resto de bodega para almacenar. 
Uso de Suelo: Productos perecederos, productos no perecederos y oficinas. Entrada para trailers Altura de 1.5 m y 9.5. 
Excelente ubicacion a unos minutos de la UAM Xochimilco, del Hospital geneeral del IMSS y de la estación de Metrobús Calzada del Hueso, así como de Chedraui, Aurrera y Home Depot, por Av. Calzada del Hueso. 
El precio no incluye impuestos, gastos notariales, derechos, costos de tasas de Interés y o gastos en casos de financiamiento. En la CD de México los gastos Notariales, impuestos y avalúo son de alrededor del 5-10%. 
Las medidas son ilustrativas y deben de corroborarse con los titulos de propiedad respectivos y/o la boleta predial. 
Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se deben de verificar con la Inmobiliaria. Esta publicación no es un oferta pública. Toda Transacción requiere autorización expresa de los propietarios.",https://cdn.remax.com.mx/properties/686518/f72fe5de5e73946b8ed96e5c345347b3.jpg; https://cdn.remax.com.mx/properties/686518/0df8ed1a38dddebaeebadfe58aa01486.jpeg; https://cdn.remax.com.mx/properties/686518/91e498337d74a6b7f2b49db12d43c6c3.jpeg; https://cdn.remax.com.mx/properties/686518/64e816090ed6fc7113200a62e08bccb1.jpg; https://cdn.remax.com.mx/properties/686518/a3bb145e84903edd54b2b88a031ccfb8.jpg; https://cdn.remax.com.mx/properties/686518/279f5ebf28516381ad8526c2e1b735c3.jpg; https://cdn.remax.com.mx/properties/686518/0e5a659c6a6e39f6c0144f81b22612db.jpg; https://cdn.remax.com.mx/properties/686518/33fc6b92ca318ce1ae73fabf616f642a.jpg,Mexico,Ciudad de México,Ciudad de México,,,Sale
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/686072,Bodega - Comercial en Centro (Área 1),Bodega - Comercial,3999000.0,MXN,,1,121.0,m2,"Bodega de 121 m2, en una de las zonas de mayor afluencia de clientes a dos cuadras de Eje 1, del barrio de Tepito, Reforma y a 10 min del Zócalo de la Ciudad de México. Ideal para inversión o negocio propio. Concreta una cita y conoce esta propiedad.
Precio más IVA. 
*CONSIDERAR EL MONTO DE ESCRITURACIÓN, QUE VA DEL 6 AL 8% SOBRE EL VALOR DE LA VENTA DE LA PROPIEDAD*",https://cdn.remax.com.mx/properties/686072/4b81cbe4eae3dea911f072efd739d365.jpg; https://cdn.remax.com.mx/properties/686072/fe37017e25e35f74cec9c4fadc172fd0.jpg; https://cdn.remax.com.mx/properties/686072/8bb3e8b53c1e9de11721c18a4404a4f4.jpg; https://cdn.remax.com.mx/properties/686072/35e2ec348c8ec6421f59b8bc9c0572d6.jpeg; https://cdn.remax.com.mx/properties/686072/f6dcfa093b6d33afccab37f97855bf2f.jpeg,Mexico,Ciudad de México,Ciudad de México,,,Sale
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/685909,Bodega - Comercial en Agrícola Pantitlán,Bodega - Comercial,180.0,MXN,,3,2502.0,m2,"EXCELENTE BODEGA DE 2,500 M2, CON USO COMERCIAL, $180 x M2, MAGNIFICA UBICACIÓN A MEDIA CUADRA DE LA AV. CANAL DE CHURUBUSCO Y EL MEXIBUS, CON ENTRADA PARA TRAILER, PATIO DE MANIOBRAS/ ESTACIONAMIENTO, PISO Y TECHO DE LAMINA RENOVADOS HACE 5 AÑOS, EL PISO ES DE 15CMS DE GROSOR PARA CARGA PESADA Y OFICINAS, ALTURA DE 9M MIN/12M MAX, ESTRUCTURA MUY ROBUSTA DE MARCO RIGIDO Y SIN COLUMNAS QUE ESTORBEN, CON MUY BUENA LUZ INTERIOR. (IBR-5837-N) (EB-WQ1197)",https://cdn.remax.com.mx/properties/685909/13b74d6511927a23e9b1f91ea32a8f76.jpg; https://cdn.remax.com.mx/properties/685909/e8d16b134cac7c2feb35e49e9e00c9e4.jpg; https://cdn.remax.com.mx/properties/685909/b47ceb2c96b02bfd6f36e45736bb9162.jpg; https://cdn.remax.com.mx/properties/685909/7764c1ce2048823ab9abc832e11930b8.jpg; https://cdn.remax.com.mx/properties/685909/54ed0c380d5fa269ed52361617722bf2.jpg; https://cdn.remax.com.mx/properties/685909/a18e27352fd5858a995776d4b3638817.jpg; https://cdn.remax.com.mx/properties/685909/43944f13c77528000d538725c0d9ea82.jpg; https://cdn.remax.com.mx/properties/685909/7b83e617b2c4e8ef46b5332db9937f7b.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/685759,Bodega - Comercial en Granjas México,Bodega - Comercial,24000.0,MXN,,1,120.0,m2,"Excelente Bodega en Renta con uso de suelo comercial de 120 m2
Bodega techada  con doble altura, oficina con baño,  baños independientes en la bodega, entrada para tráiler, cisterna, cuenta con bombas, tinacos y luz trifásica. Parque Industrial cerrado con vigilancia las 24 hrs.
Mantenimiento Incluido
REQUSITOS:
- 2 MESES DE DEPÓSITO
-AVAL CON BIEN RAÍZ
¡Visitelo Previa cita! Alberto",https://cdn.remax.com.mx/properties/685759/d59a6de7c7f6fa129245afb5112eed77.jpeg; https://cdn.remax.com.mx/properties/685759/75086fa8f4480a778ded4afcc8ebd3fc.jpeg; https://cdn.remax.com.mx/properties/685759/d1ecaa0f5b90ab6dac66779149d019f8.jpg; https://cdn.remax.com.mx/properties/685759/3d06996902d84ec03754e1c7a448cf77.jpg; https://cdn.remax.com.mx/properties/685759/b4ff9ed0bb9da375ac8382730eb9818f.jpeg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/685760,Bodega - Comercial en Granjas México,Bodega - Comercial,19000.0,MXN,,1,95.0,m2,"Excelente Bodega en Renta con uso de suelo comercial de 95 m2
Bodega techada  con doble altura, oficina con baño,  baños independientes en la bodega, entrada para tráiler, cisterna, cuenta con bombas, tinacos y luz trifásica. Parque Industrial cerrado con vigilancia las 24 hrs.
Mantenimiento Incluido
REQUSITOS:
- 2 MESES DE DEPÓSITO
-AVAL CON BIEN RAÍZ
¡Visitelo Previa cita! Alberto",https://cdn.remax.com.mx/properties/685760/820d909b33c125fec29ecd2ddc95b48e.jpeg; https://cdn.remax.com.mx/properties/685760/e5571712c9231fd2ac6cf45fb7b7d93c.jpg; https://cdn.remax.com.mx/properties/685760/29fdf5c2f85a0ed6f69652c4953ef15b.jpeg; https://cdn.remax.com.mx/properties/685760/a8ca25df51b2b919215a10c62ef0e91f.jpeg; https://cdn.remax.com.mx/properties/685760/8c7fd514efc050712ddb07e18e67f1b1.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/684297,Bodega - Comercial en Agrícola Pantitlán,Bodega - Comercial,45300000.0,MXN,0,3,,,"EXCELENTE BODEGA DE 2,500 M2, CON USO COMERCIAL, MAGNIFICA UBICACIÓN A MEDIA CUADRA DE LA AV. CANAL DE CHURUBUSCO Y EL MEXIBUS, CON ENTRADA PARA TRAILER, PATIO DE MANIOBRAS/ ESTACIONAMIENTO, PISO Y TECHO DE LAMINA RENOVADOS HACE 5 AÑOS, EL PISO ES DE 15CMS DE GROSOR PARA CARGA PESADA Y OFICINAS, ALTURA DE 9M MIN/12M MAX, ESTRUCTURA MUY ROBUSTA DE MARCO RIGIDO Y SIN COLUMNAS QUE ESTORBEN, CON MUY BUENA LUZ INTERIOR. (IBV-5837-N) (EB-WO3049)",https://cdn.remax.com.mx/properties/684297/a2db972ffd5e323ff6b782411bb1c499.jpg; https://cdn.remax.com.mx/properties/684297/c6114a2b190e41ab5c0d083a14615457.jpg; https://cdn.remax.com.mx/properties/684297/126ed1eb7042db5b3127312967a837ad.jpg; https://cdn.remax.com.mx/properties/684297/34e15216c62704bc8cc5a84a0bdd2542.jpg; https://cdn.remax.com.mx/properties/684297/cb79e368eeb4774b0e805097cdd56989.jpg; https://cdn.remax.com.mx/properties/684297/1d3be7d320fc1a6510acce37977f0030.jpg; https://cdn.remax.com.mx/properties/684297/fd111ebe6b500469c10c716a6a604588.jpg; https://cdn.remax.com.mx/properties/684297/df18cc9ff345116d76e5952fee3b1721.jpg,Mexico,Ciudad de México,Ciudad de México,,,Sale
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/683560,Bodega - Comercial en Santa María la Ribera,Bodega - Comercial,410000.0,MXN,0,4,,,"Bodega ubicada en la ciudad de México en la alcaldia Cuauhtemoc, desarrollada sobre un terreno de 1,312 m2;, con aproximadamente 200 m2; destinados a oficinas y áreas de servicio. Su diseño combina amplios espacios operativos con una distribución funcional para actividades industriales, logísticas, de almacenamiento y distribución. Frente del terreno 25.56 m y 41.50 m de fondo 
Cuenta con una altura libre de 5.50 m y una altura máxima de 8.50 m, además de un portón de acceso de 5.50 × 5.00 m que facilita la entrada y maniobra de vehículos de carga. Dispone de acceso peatonal independiente, iluminación en la nave mediante 15 lámparas, 6 oficinas, 4 baños, cocineta, caseta de vigilancia y 2 bodegas de apoyo.
La infraestructura hidráulica incluye una cisterna con capacidad de 20,000 litros, 2 tinacos Rotoplas de 1,100 litros cada uno y sistema de bombeo de agua, proporcionando autonomía y eficiencia en la operación.
Por sus características constructivas, distribución y equipamiento, este inmueble representa una excelente opción para empresas que buscan un espacio funcional, seguro y listo para operar.
A partir del mes de octubre.",https://cdn.remax.com.mx/properties/683560/82e5b30103494b523ef252ac4046e416.jpg; https://cdn.remax.com.mx/properties/683560/962bb765e54dd52d2aabbab1cbd546d7.jpg; https://cdn.remax.com.mx/properties/683560/7b100c17cc1b33c807e60aa160670264.jpg; https://cdn.remax.com.mx/properties/683560/5823bf2282440015d2132459f0ca7a05.jpeg; https://cdn.remax.com.mx/properties/683560/2c39081b6b1740896ab4704143ada0fe.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/684233,Bodega - Comercial en Central de Abasto,Bodega - Comercial,380000.0,MXN,0,4,1795.0,m2,"Bodega en RENTA DOBLE FRENTE — Eje 5 Sur (Leyes de Reforma)
Propiedad industrial/comercial junto a la Central de Abastos, con alta vocación logística y oferta reducida en el mercado — oportunidad para inversionistas que buscan expandir operación cercana al centro de distribución. El inmueble integra área de oficinas desarrollada en tres niveles y una nave industrial posterior dividida en dos secciones, ofreciendo flexibilidad operativa y separaciones claras entre administración y producción/almacenamiento.
Distribución destacada (oficinas)
Planta baja: acceso principal y dos áreas de uso múltiple (una con medio baño).
Primer nivel: dos secciones — (A) recepción, 2 privados y 2 baños; (B) área de cocina, área de servicio, 3 privados y 1 baño.
Segundo nivel: área de estar, cocina, 1 baño y 2 habitaciones.
Nave industrial (parte posterior)
Dividida en dos secciones, con tapanco, área de uso múltiple y 1 baño; configuración adecuada para almacenamiento, procesos ligeros o montaje.
Uso de suelo: HM (amplia permisibilidad de giros; INDUSTRIA Y COMERCIO
Beneficios clave
Ubicación estratégica junto a la Central de Abastos, favorece logística, distribución y acceso a proveedores.
Combinación oficina + nave que facilita operación integral (administración en sitio y producción/almacenaje separados).
Operación mediante traspaso de derechos: permite entrada rápida al activo en un mercado con baja oferta.",https://cdn.remax.com.mx/properties/684233/2412d3d6c13273adc68df523aff1aca1.jpg; https://cdn.remax.com.mx/properties/684233/102158d48ed2927ff2b32b3438642a08.jpg; https://cdn.remax.com.mx/properties/684233/d2e05e8e21fd0c42e1ae6f2a917a4898.jpg; https://cdn.remax.com.mx/properties/684233/52ecf39ad94ed20a827fee9ceb945dd4.jpg; https://cdn.remax.com.mx/properties/684233/d7d0c3a28f5bbc406d087a1e5b84e795.jpg; https://cdn.remax.com.mx/properties/684233/4d52829a718a732dd7eac89bcde241f2.jpg; https://cdn.remax.com.mx/properties/684233/3fbe76e62623c69f39b07afa8533729f.jpg; https://cdn.remax.com.mx/properties/684233/08a5948b86a7e4160f835c8af66e74c7.jpg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/682992,Bodega - Comercial en Popotla,Bodega - Comercial,115000.0,MXN,,1,500.0,m2,"Bodega en renta ubicada sobre Felipe Carrillo Puerto, en la colonia Popotla, alcaldía Miguel Hidalgo.
Cuenta con 500 m⊃2; de superficie en una planta libre, 12 metros de altura, portón de acceso de 8 metros, piso de alta resistencia, conexión eléctrica trifásica, patio de maniobras y un baño. No cuenta con oficinas ni cajones de estacionamiento.
La ubicación permite acceso inmediato a Calzada México-Tacuba y conexión con Avenida Marina Nacional, Calzada Legaria, Circuito Interior, Mariano Escobedo y Avenida Cuitláhuac, facilitando los traslados hacia Polanco, Azcapotzalco y otros corredores comerciales e industriales de la ciudad.
Características:
500 m⊃2; de superficie.
12 m de altura libre.
Portón de acceso de 8 m.
Piso de alta resistencia.
Conexión eléctrica trifásica.
Patio de maniobras.
1 baño.
Todos los servicios.
Antigüedad: 20 años.
Mantenimiento incluido.
Renta mensual: $129,000.
Requisitos:
1 mes de renta.
1 mes de depósito.
Póliza jurídica Segurirent  con costo de $30,000 más IVA, tramitada con fiador con bien raíz en la Ciudad de México. .
El costo de la renta es más IVA.",https://cdn.remax.com.mx/properties/682992/5b5594c81db6abd447631378f211faab.jpeg; https://cdn.remax.com.mx/properties/682992/8bd2d0eecb3b118170e4b9446214fc4e.jpeg; https://cdn.remax.com.mx/properties/682992/5f8f4c8e473bc4497a086142f101c136.jpeg; https://cdn.remax.com.mx/properties/682992/7417286f941d5301bf1618bd25c0daa1.jpeg,Mexico,Ciudad de México,Ciudad de México,,,Rent
RE/MAX Mexico,https://www.remax.com.mx,RE/MAX Mexico (native API),https://www.remax.com.mx/propiedad/673944,Bodega - Comercial en Anáhuac I Sección,Bodega - Comercial,228400.0,MXN,0,1,1142.0,m2,"Distribución Estratégica en 2 Niveles para Máximo Rendimiento
Impulsa tu operación en una de las zonas logísticas con mejor conectividad de la Ciudad de México. Esta propiedad destaca por su amplia superficie de 1,142 m2;, diseñada para empresas que buscan versatilidad, seguridad y una estructura funcional.
Características Técnicas y Distribución:
Superficie Total: 1,142 m2; distribuidos estratégicamente:
Planta Baja (PB): 238 m2; (Ideal para recepción, despacho o carga pesada). 
Planta Alta (PA): 915 m2; (Área extensiva para almacenamiento o líneas de producción).
Altura: Variable de 2.3 a 3.7 metros.
Acceso Logístico: Entrada diseñada para camionetas de 3.5 toneladas.
Infraestructura Profesional:
Áreas Administrativas: Espacios de oficinas integrados para la gestión de tu negocio.
Servicios: Núcleos de baños completos.
Estacionamiento: Espacio exclusivo para vehículos, un valor agregado crítico en la zona.
Seguridad: Entorno controlado con vigilancia (Cuota: $9,000).
Ubicada en Lago Texcoco, Col. Anáhuac I Secc., Miguel Hidalgo. Su cercanía a arterias viales principales garantiza una logística de última milla eficiente hacia Polanco, Cuauhtémoc y el norte de la ciudad.
Condiciones de Arrendamiento:
Precio por m2 $200 MXN
Inversión Mensual: $228,400.00 (más IVA)
Disponibilidad: Inmediata
Requisito indispensable: Fiador con bien inmueble en la CDMX.",https://cdn.remax.com.mx/properties/673944/d298762e1c2bde8718eaf8a4899e1c08.png; https://cdn.remax.com.mx/properties/673944/b97de0484ddf4794c923b73382e5289f.png; https://cdn.remax.com.mx/properties/673944/905030d0476245d34c6852962f6bb7e7.png; https://cdn.remax.com.mx/properties/673944/e60b0b4f9b45f87aea9a9a014e662ef6.png; https://cdn.remax.com.mx/properties/673944/588751289c650b9b49ea8572308f7a53.png; https://cdn.remax.com.mx/properties/673944/30afffab0e41c23e6c61923919da24c0.png; https://cdn.remax.com.mx/properties/673944/d29a6a3df7a65588a4c16eafe1262cce.png; https://cdn.remax.com.mx/properties/673944/cb1f2c781f9d1825ba4b11aca237837d.png,Mexico,Ciudad de México,Ciudad de México,,,Rent
